Year,PM,Party,HDI_Rank,HDI_Value,Poverty_Rate_Pct,Unemployment_Rate_Pct,CPI_Corruption_Rank,CPI_Score,GTI_Terrorism_Rank,GTI_Score,RWB_PressFreedom_Rank,RWB_Score,AQI_Avg_PM2.5,Passport_Rank_Henley,INR_per_USD
2004,Manmohan Singh,INC(UPA),127,0.527,38.6,3.9,90,2.8,,,,,,71,45.3
2005,Manmohan Singh,INC(UPA),128,0.535,37.2,3.9,88,2.9,,,106,,,71,44.1
2006,Manmohan Singh,INC(UPA),126,0.545,35.8,3.8,70,3.3,,,105,,,71,45.3
2007,Manmohan Singh,INC(UPA),128,0.554,34.4,3.7,72,3.5,,,120,,,73,41.3
2008,Manmohan Singh,INC(UPA),132,0.562,33.0,3.7,85,3.4,,,118,,,75,43.5
2009,Manmohan Singh,INC(UPA),134,0.570,31.6,4.0,84,3.4,,,105,,,75,48.4
2010,Manmohan Singh,INC(UPA),119,0.578,30.2,3.5,87,3.3,,,122,,,77,45.7
2011,Manmohan Singh,INC(UPA),134,0.586,21.9,3.5,95,3.1,,,131,,,78,46.7
2012,Manmohan Singh,INC(UPA),136,0.586,21.9,3.6,94,36,,,140,,,82,53.4
2013,Manmohan Singh,INC(UPA),135,0.586,21.2,3.6,94,36,7,7.86,140,,,74,58.6
2014,Narendra Modi,BJP(NDA),130,0.609,21.2,3.5,85,38,6,7.86,140,,,76,61.0
2015,Narendra Modi,BJP(NDA),130,0.624,21.2,3.4,76,38,8,7.59,136,,,88,64.2
2016,Narendra Modi,BJP(NDA),131,0.640,21.2,3.5,79,40,7,7.43,133,,89.1,85,67.2
2017,Narendra Modi,BJP(NDA),130,0.640,21.2,3.5,81,40,8,7.18,136,,90.2,87,65.1
2018,Narendra Modi,BJP(NDA),130,0.647,21.2,3.5,78,41,7,7.52,138,,72.5,81,68.4
2019,Narendra Modi,BJP(NDA),129,0.645,21.2,5.8,80,41,7,7.30,140,,58.1,82,70.4
2020,Narendra Modi,BJP(NDA),131,0.633,21.2,8.0,86,40,8,7.18,142,,51.9,82,74.1
2021,Narendra Modi,BJP(NDA),132,0.633,21.2,5.98,85,40,8,7.16,150,,58.1,90,73.9
2022,Narendra Modi,BJP(NDA),135,0.633,16.4,7.33,85,40,10,6.51,150,,53.3,83,80.4
2023,Narendra Modi,BJP(NDA),132,0.644,12.9,8.0,93,39,14,6.01,161,,54.4,84,82.8
2024,Narendra Modi,BJP(NDA),133,0.676,12.9,7.0,96,38,14,6.01,159,,50.6,80,83.7
2025,Narendra Modi,BJP(NDA),130,0.685,12.9,7.0,91,39,16,,151,,,85,86.5
2026,Narendra Modi,BJP(NDA),,,,,,,,,,,,75,86.0
